canonicalEnglish,zhTW,category,approval
Start,開始,ui,approved
Ancestry,族裔,game-term,approved
Culture,文化,game-term,approved
Career,職業,game-term,approved
Class,範型,game-term,approved
Complication,糾葛,game-term,approved
Details,細項,ui,approved
Optional,非強制,ui,approved
Not Started,尚未開始,ui,approved
In Progress,進行中,ui,approved
Completed,已完成,ui,approved
Save Changes,儲存變更,ui,approved
Cancel,取消,ui,approved
Random,隨機選擇,ui,approved
Unselect,取消選擇,ui,approved
Hero Builder,創建英雄,ui,approved
Choices,選項,ui,approved
Name,名稱,ui,approved
Remove,移除,ui,approved
Portrait,肖像,ui,approved
Folder,資料夾,ui,approved
Language Choices,語言選項,ui,approved
Skill Choices,技能選項,ui,approved
Bespoke,自訂,game-term,approved
Bespoke Culture,自訂文化,game-term,approved
Bespoke Cultures,自訂文化,game-term,approved
Ancestral Cultures,族裔文化,game-term,approved
Professional Cultures,專業文化,game-term,approved
Environment,生活環境,game-term,approved
Organization,組織型態,game-term,approved
Upbringing,成長經歷,game-term,approved
Inciting Incident,關鍵事件,game-term,approved
Level,等級,game-term,approved
XP,XP,game-term,approved
Characteristics,屬性,game-term,approved
Primary Characteristics,主要屬性,game-term,approved
Language,語言,game-term,approved
Skill,技能,game-term,approved
Creating a Hero,創建英雄,ui,approved
Hero Sheet,角色卡,game-term,approved
Sourcebook,資料來源,game-term,approved
Sourcebooks,資料來源,game-term,approved
Official Sourcebooks,官方資料來源,game-term,approved
Homebrew,自製,game-term,approved
Homebrew Sourcebooks,自製資料來源,game-term,approved
Unnamed Sourcebook,未命名的資料來源,ui,approved
Import a sourcebook,匯入資料來源,ui,approved
Sourcebook not imported,無法匯入資料來源,ui,approved
Tutorial Mode,教學模式,ui,approved
Triggered Action,反應動作,game-term,approved
Free Triggered Action,免費反應動作,game-term,approved
Heroic Resource,英雄資源,game-term,approved
Disengage,撤離,game-term,approved
Perk,專長,game-term,approved
Overview,概述,ui,approved
Ancestry Points,族裔點數,game-term,approved
Unnamed Ancestry,未命名族裔,ui,approved
Features,特性,game-term,approved
Inciting Incidents,關鍵事件,game-term,approved
Unnamed Career,未命名職業,ui,approved
Ancestral,族裔,game-term,approved
Professional,專業,game-term,approved
Regional,地區,game-term,approved
Unnamed Culture,未命名文化,ui,approved
Subclass,子範型,game-term,approved
Unnamed Subclass,未命名子範型,ui,approved
Signature Abilities,招牌招式,game-term,approved
Unnamed Class,未命名範型,ui,approved
Unnamed Complication,未命名糾葛,ui,approved
Distance,射程,game-term,approved
Target,目標,game-term,approved
Trigger,觸發,game-term,approved
Distance / Target,射程 / 目標,ui,approved
Main Action,主要動作,game-term,approved
Maneuver,機動動作,game-term,approved
Move Action,移動動作,game-term,approved
No Action,無需動作,game-term,approved
Free Strike,基礎打擊,game-term,approved
Power Roll,檢定,game-term,approved
Test,考驗,game-term,approved
Highest Characteristic,最高屬性,game-term,approved
Might,力量,game-term,approved
Agility,敏捷,game-term,approved
Reason,理智,game-term,approved
Intuition,直覺,game-term,approved
Presence,氣場,game-term,approved
Odds,機率,ui,approved
Potency,效力,game-term,approved
weak,弱,potency-tier,approved
average,中,potency-tier,approved
strong,強,potency-tier,approved
melee damage,近戰傷害,game-term,approved
ranged damage,遠程傷害,game-term,approved
Damage,傷害,game-term,approved
Acid,酸蝕,game-term,approved
Cold,寒冷,game-term,approved
Corruption,腐朽,game-term,approved
Fire,火焰,game-term,approved
Holy,神聖,game-term,approved
Lightning,閃電,game-term,approved
Poison,劇毒,game-term,approved
Psychic,心靈,game-term,approved
Sonic,音波,game-term,approved
Self,自身,distance-type,approved
Melee,近戰,distance-type,approved
Ranged,遠程,distance-type,approved
Aura,靈光,distance-type,approved
Burst,爆發,distance-type,approved
Cube,立方,distance-type,approved
Line,線形,distance-type,approved
Wall,障壁,distance-type,approved
Summoner Range,召喚師射程,distance-type,approved
Special,特殊,distance-type,approved
Stamina,體力,game-term,approved
Bleeding,出血,condition,approved
Dazed,暈眩,condition,approved
Frightened,畏縮,condition,approved
Grabbed,擒制,condition,approved
Prone,伏地,condition,approved
Restrained,束縛,condition,approved
Slowed,緩速,condition,approved
Taunted,嘲諷,condition,approved
Weakened,虛弱,condition,approved
Dying,瀕死,condition,approved
bane,劣勢,game-term,approved
double bane,雙劣勢,game-term,approved
line of effect,效果線,game-term,approved
Charge,衝鋒,game-term,approved
pt,費,ui-unit,approved
pts,費,ui-unit,approved
Devil,魔鬼,game-term,approved
Dragon Knight,龍騎士,game-term,approved
Dwarf,矮人,game-term,approved
Elf (wode),幻林精靈,game-term,approved
Wode Elf,幻林精靈,game-term,approved
Elf (high),高等精靈,game-term,approved
High Elf,高等精靈,game-term,approved
Human,人類,game-term,approved
Orc,歐克,game-term,approved
Polder,波德人,game-term,approved
Revenant,還魂屍,game-term,approved
